Sample,Species,SRA,Latitude,Longitude,Average.Depth,Sampling.Locale,K3,K14
MC21,D. melanogaster,SRR21846098,-15.749997,29.333332,38.3,South,AFR1,South_1-anc13
MC22,D. melanogaster,SRR21846097,-15.749997,29.333332,59.5,South,AFR1,South_1-anc13
MC23,D. melanogaster,SRR21846096,-15.749997,29.333332,47.8,South,AFR1,South_1-anc13
MC25,D. melanogaster,SRR21846005,-15.749997,29.333332,53.2,South,AFR1,South_1-anc13
MC26,D. melanogaster,SRR21846004,-16.2504739,28.49884819,52.5,South,AFR1,South_1-anc13
MC28,D. melanogaster,SRR21846003,-15.749997,29.333332,48.1,South,AFR1,South_1-anc13
MC29,D. melanogaster,SRR21846001,-15.749997,29.333332,43.1,South,AFR1,South_1-anc13
MC2,D. melanogaster,SRR21846000,-15.749997,29.333332,59.8,South,AFR1,South_1-anc13
MC3,D. melanogaster,SRR21845999,-15.749997,29.333332,55.9,South,AFR1,South_1-anc13
MC4,D. melanogaster,SRR21845998,-16.2504739,28.49884819,38.1,South,AFR1,South_1-anc13
MC6,D. melanogaster,SRR21845997,-15.749997,29.333332,45.2,South,AFR1,South_1-anc13
MC_LZV,D. melanogaster,SRR21845996,-15.749997,29.333332,34.9,South,AFR1,South_1-anc13
MSM2,D. melanogaster,SRX891947,32.21,-88.42,9.4,OOA,OOA,OOA_1-anc10
MSM9,D. melanogaster,SRX891997,32.21,-88.42,7.5,OOA,OOA,OOA_1-anc10
MW11,D. melanogaster,SRR21845995,-15.62,34.52,36.2,South,AFR1,HD-anc1
MW25,D. melanogaster,SRR21845994,-15.62,34.52,98.7,South,AFR1,South_minor_2-anc9
MW28,D. melanogaster,SRR21845993,-15.62,34.52,35.8,South,AFR1,South_2-anc2
MW38,D. melanogaster,SRR21845992,-15.62,34.52,51.2,South,AFR1,South_1-anc13
MW56,D. melanogaster,SRR21845990,-15.62,34.52,35.1,South,AFR1,South_minor_2-anc9
N01,D. melanogaster,SRX766117,52.1326,5.2913,10.5,OOA,OOA,OOA_2-anc5
N02,D. melanogaster,SRR1663562,52.1326,5.2913,11.4,OOA,OOA,OOA_2-anc5
N04,D. melanogaster,SRX766121,52.1326,5.2913,10.6,OOA,OOA,OOA_2-anc5
N07,D. melanogaster,SRR1663565,52.1326,5.2913,10.4,OOA,OOA,OOA_2-anc5
N10,D. melanogaster,SRR1663566,52.1326,5.2913,10.9,OOA,OOA,OOA_2-anc5
N11,D. melanogaster,SRX766124,52.1326,5.2913,10.1,OOA,OOA,OOA_2-anc5
N15,D. melanogaster,SRX766127,52.1326,5.2913,8.6,OOA,OOA,OOA_2-anc5
N16,D. melanogaster,SRR1663571,52.1326,5.2913,10.6,OOA,OOA,OOA_2-anc5
N17,D. melanogaster,SRX766129,52.1326,5.2913,9.4,OOA,OOA,OOA_2-anc5
N18,D. melanogaster,SRX766130,52.1326,5.2913,10.4,OOA,OOA,OOA_2-anc5
N23,D. melanogaster,SRX766133,52.1326,5.2913,10.6,OOA,OOA,OOA_2-anc5
N25,D. melanogaster,SRX766134,52.1326,5.2913,9.7,OOA,OOA,OOA_2-anc5
N29,D. melanogaster,SRX766136,52.1326,5.2913,8.6,OOA,OOA,OOA_2-anc5
N30,D. melanogaster,SRX766137,52.1326,5.2913,10.3,OOA,OOA,OOA_2-anc5
NG10N,D. melanogaster,SRR189263,11.85,13.16,32.8,West,AFR2,West-anc3
NG1N,D. melanogaster,SRR189264,11.85,13.16,31.8,West,AFR2,West-anc3
NG3N,D. melanogaster,SRR189414,11.85,13.16,31.5,West,AFR2,West-anc3
NG7,D. melanogaster,SRR189267,11.85,13.16,26.2,West,AFR2,West-anc3
NG9,D. melanogaster,SRR189268,11.85,13.16,31,West,AFR2,West-anc3
NMB15_42A,D. melanogaster,SRR21845984,-17.5185,24.5323,16.5,South,AFR1,South_minor_2-anc9
NMB15_42B,D. melanogaster,SRR21845983,-17.5185,24.5323,52.1,South,AFR1,South_minor_2-anc9
